"","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;Other","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum","k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__","k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia;s__","k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens","k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella;s__lenta","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter;s__","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__","k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other;Other","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;Other;Other","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other;Other","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;Other","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;Other","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;Other","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium;s__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__;s__","k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;Other;Other","k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__","k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus;s__","k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium];s__dolichum","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella;s__","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__;s__","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas;s__"
"Control29",0.0,0.0,0.024870164756446992,0.01864702722063037,0.00022385386819484242,0.0006939469914040115,0.0,0.0006715616045845272,0.14584079512893983,0.0013207378223495702,0.006245522922636103,0.0023728510028653295,0.0007834885386819484,0.005305336676217765,0.0010744985673352436,0.006670845272206303,0.001969914040114613,0.00017908309455587392,0.021579512893982807,0.0,0.009849570200573065,0.020594555873925502,0.0024623925501432663,0.044748388252148996,0.16435351002865328,0.007409563037249284,0.015177292263610314,0.11147922636103152,0.02041547277936963,0.005103868194842407,0.00960333094555874,0.007387177650429799,0.006849928366762178,0.004477077363896848,0.014550501432664757,0.007633416905444126,0.0004924785100286533,0.19231285816618912,0.07212571633237823,0.004924785100286533,0.010207736389684814,0.009133237822349571,0.0,0.00013431232091690545,0.00047009312320916904,0.00013431232091690545,0.010319663323782235,0.0,0.0,0.006312679083094556,0.00011192693409742121,0.00011192693409742121,0.0026638610315186245,0.0,0.0
"Control15",0.0004182668542530134,0.014829461196243203,0.0005323396326856535,0.001178752043803947,0.0,0.00019012129738773338,0.021635803642724057,0.0011027035248488536,0.03517244001673067,0.003840450207232214,0.004524886877828055,0.0,0.001178752043803947,0.01304232100079851,0.0007604851895509335,0.0028518194608160006,0.0031179892771588274,0.00045629111373056007,0.035286512795163316,0.00038024259477546676,0.005019202251036161,0.014487242860945283,0.0,0.03627514354157953,0.11677250085554584,0.001977261492832427,0.011407277843264002,0.1030457431841515,0.029430776835621127,0.008935700977223468,0.010304574318415149,0.03190235370166166,0.005323396326856534,0.00022814555686528004,0.04387999543708886,0.0012548005627590402,0.00038024259477546676,0.2364348454313852,0.09449028480170349,0.013726757671394349,0.05015399825088406,0.014943533974675844,0.0,0.0001520970379101867,0.003536256131411841,0.0005703638921632001,0.001749115935967147,0.00022814555686528004,0.0,0.01844176584661014,0.0007604851895509335,0.0,0.0036883531693220274,0.0,0.0
"Control28",0.0005973269618457403,0.0,0.015194504591951019,0.0,0.0,0.0004479952213843052,0.0436422011498544,0.0004106622862689465,0.0698125886657209,0.0,0.005263943851265587,0.006159934294034197,0.0027253042634211903,0.0,0.0,0.008063913984917494,0.001791980885537221,0.0007466587023071754,0.0027253042634211903,0.00029866348092287017,0.012767863809452698,0.017509146569103264,0.0003359964160382289,0.043455536474277606,0.14955573807212724,0.0,0.01030389009183902,0.08549242141417158,0.022885089225714927,0.011125214664376912,0.018890465168371538,0.013850518927798103,0.0021653102366908086,0.0019039796908832973,0.13794519525125065,0.008959904427686105,0.0008586575076532517,0.0847457627118644,0.11330545807511387,0.004778615694765923,0.000821324572537893,0.0017173150153065033,0.020495781378331964,0.0005599940267303815,0.00018666467557679385,0.0,0.028223698947211228,0.00029866348092287017,0.0022026431718061676,0.007391921152841037,0.000970656312999328,0.03748226685582021,0.0009333233778839692,0.0,0.0
"Control3",0.0073231073725878275,0.0013359722909450768,0.10529440870856012,0.03003463631865413,0.010588817417120238,0.0009896091044037606,0.0871845620979713,0.0,0.010935180603661554,0.00014844136566056408,0.0014844136566056407,0.0031172686788718458,0.0005937654626422563,0.0031172686788718458,0.00014844136566056408,0.0009401286491835725,0.0004948045522018803,0.0007916872835230084,0.044186046511627906,0.02835230084116774,0.03399307273626918,0.015635823849579417,0.0,0.05566551212271153,0.053043047996041565,0.0001979218208807521,0.07916872835230084,0.10771895101434933,0.02632360217714003,0.007619990103908956,0.0003958436417615042,0.0015338941118258288,0.004453240969816922,0.00029688273132112816,0.002474022761009401,0.003809995051954478,0.0028203859475507175,0.20509648688767937,0.010885700148441365,0.016378030677882238,0.025383473527956456,0.0,0.0007916872835230084,0.0,0.007718951014349332,0.0,0.0005442850074220683,0.0,0.00034636318654131617,0.0,0.0006432459178624443,0.0,0.0,0.0,0.0
"Control27",0.0006911996461057812,0.006607868616771268,0.02186955680278692,0.013547513063673312,0.0026542066410461997,0.00013823992922115623,0.017003511294202217,0.0,0.05294589289170284,0.0005806077027288562,0.013022201332632918,0.0007188476319500124,0.0012994553346788687,0.0030965744145539,0.00013823992922115623,0.003455998230528906,0.003704830103126987,0.0,0.038845420111144904,0.00199065498078465,0.0030965744145539,0.0010506234620807874,0.0020459509524731125,0.06082556885730875,0.20890818103901132,0.0,0.0007188476319500124,0.10782714479250187,0.021814260831098456,0.005667837098067406,0.012801017445879068,0.007382012220409743,0.005916668970665487,0.0012994553346788687,0.03428350244684675,0.003234814343775056,0.00033177583013077497,0.19220879758909565,0.05858608200392602,0.0064143327158616495,0.0699770521717493,0.00019353590090961874,0.006386684730017418,0.0,0.0016312311648096437,0.0,0.0,0.0,0.0,0.00508722939533855,0.0,0.0,0.0,0.0,0.0
"Control18",0.0032542796005706133,0.01038694721825963,0.03766940085592011,0.011947218259629102,0.00305367332382311,0.0001783166904422254,0.03236447931526391,0.0,0.03749108416547789,0.003432596291012839,0.0008024251069900142,0.002697039942938659,0.002273537803138374,0.007645328102710414,0.0002674750356633381,0.00256330242510699,0.002050641940085592,0.00022289586305278175,0.06490727532097004,0.03608684022824536,0.011924928673323823,0.011077924393723253,0.0008470042796005706,0.025098074179743225,0.11686430099857346,0.0002451854493580599,0.0022512482168330957,0.06847360912981455,0.0124598787446505,0.0026524607703281027,0.009138730385164051,0.0100080242510699,0.004680813124108417,0.009183309557774608,0.013039407988587732,0.0,0.0009361626248216833,0.29034415121255347,0.053673323823109846,0.009183309557774608,0.07602977888730385,0.0,0.004168152639087018,0.0001560271041369472,0.0012036376604850213,0.0,0.003677781740370899,0.0,0.0,0.002942225392296719,0.0004457917261055635,0.0,0.0,0.0,0.0
"Control5",0.00015120205634796633,0.015019404263897989,0.014767400836651378,0.004384859634091023,0.05589436016329822,0.0002268030845219495,0.00645128773751323,0.0,0.004863666145859584,0.0016884229625522907,0.0016128219343783075,0.0014364195353056802,0.0007812106244644928,0.010256539488937049,0.00012600171362330527,0.0007056095962905095,0.006048082253918653,0.00042840582631923794,0.045738622045259816,0.022251902625875713,0.054281538228919915,0.06640290307948188,0.0005544075399425432,0.03205483594576886,0.037598911345194296,0.0002268030845219495,0.007938107958268232,0.07413940829595282,0.02681316465903936,0.0009576130235371201,0.006476488080237891,0.006526888765687213,0.016859029282798248,0.0016380222771029687,0.015095005292071972,0.0016380222771029687,0.002167229474320851,0.32369840229827124,0.012826974446852477,0.05155990121465652,0.03127362532130437,0.0186986543016985,0.0,0.0,0.011113351141575526,0.0002772037699712716,0.0019152260470742402,0.0,0.00017640239907262738,0.0034524469532785647,0.0005544075399425432,0.0,0.00025200342724661053,0.0,0.0
"Control7",0.0,0.0,0.0,0.02553099263112267,0.0003684438664932813,0.00017338534893801473,0.01649328131772865,0.0003684438664932813,0.0641742522756827,0.011031642826181187,0.010533159947984396,0.0013654096228868662,0.002904204594711747,0.0005201560468140442,0.0,0.0030559167750325096,0.003857824013870828,0.0001950585175552666,0.009406155179887299,0.0,0.0006501950585175553,0.005309926311226701,0.0003901170351105332,0.08162115301257043,0.37787169484178584,0.0,0.015041179020372778,0.1392501083658431,0.017945383615084524,0.003315994798439532,0.011941915908105765,0.017490247074122237,0.0015604681404421327,0.004508019072388383,0.006610316428261812,0.00411790203727785,0.0,0.07256176853055916,0.020871261378413525,0.004074555700043347,0.02364542696142176,0.0,0.0047030775899436494,0.0001517121803207629,0.0,0.0,0.027568270481144342,0.0,0.0,0.007433896835717382,0.0,0.0012136974425661032,0.00017338534893801473,0.0,0.0
"Control26",0.012914143213395084,0.028232988956180975,0.0003117206982543641,0.04074634841467759,0.00026718916993231207,0.0,0.02921268257926612,0.00026718916993231207,0.05383861774136088,0.012646954043462772,0.0,0.009218026362664767,0.014027431421446385,0.012914143213395084,0.0,0.003028143925899537,0.0,0.00013359458496615604,0.015586034912718205,0.00022265764161026006,0.005032062700391878,0.0027164232276451726,0.004987531172069825,0.003384396152475953,0.14650872817955113,0.0,0.0010687566797292483,0.21041147132169577,0.041859636622728895,0.0,0.002760954755967225,0.017411827573922338,0.0006679729248307802,0.003740648379052369,0.014116494478090488,0.008550053437833986,0.0004898468115425721,0.1805753473459209,0.04110260064125401,0.009351620947630923,0.05673316708229426,0.008594584966156038,0.0,0.0,0.0005343783398646241,0.00013359458496615604,0.0010687566797292483,0.0003117206982543641,0.0007125044531528322,0.0030726754542215887,0.0005343783398646241,0.0,0.0,0.0,0.0
"Control4",0.0,0.0,0.0,0.0516306667805003,0.0,0.0,0.0,0.0017715359002817383,0.042687612054981644,0.0,0.01144028003073508,0.0,0.0,0.0,0.0,0.0001920942542474174,0.0,0.0,0.0006616579868522155,0.0,0.0,0.006894049346879536,0.0,0.025633911039016476,0.1174336207632545,0.0,0.0,0.26218731324169725,0.006125672329889866,0.0088363356953812,0.007384956885511824,0.04390420899854862,0.00885767950140869,0.035110560915222404,0.009818150772645778,0.01927345684282421,0.0,0.2524758814991889,0.0,0.004268761205498165,0.017864765645009818,0.002283787244941518,0.0,0.00012806283616494492,0.0,0.00044821992657730726,0.05468283104243148,0.0011312217194570137,0.005229232476735251,0.0,0.0,0.0016434730641167934,0.0,0.0,0.0
"Control9",0.00275301520713162,0.00029496591504981647,0.02464604090194022,0.00865233350812795,0.0,0.00042606187729417934,0.005309386470896697,0.0,0.1351927110644992,0.02005768222338752,0.021860251704247508,0.0037690089145254327,0.0014420555846879916,0.0054404824331410594,0.0007538017829050865,0.007210277923439958,0.00022941793392763503,6.554798112218144e-05,0.030479811221814368,0.0,0.0008193497640272679,0.0015403775563712638,0.0,0.013896171997902464,0.04611300471945464,0.0,0.022974567383324592,0.2319743051914001,0.02644861038280021,0.0,0.0173046670162559,0.03785395909805978,0.0346093340325118,0.008291819611955952,0.001409281594126901,0.001507603565810173,0.0,0.17219454640797063,0.054929208180388045,0.0036706869428421605,0.012388568432092292,0.0,0.004490036706869429,0.0,0.0009832197168327215,0.0005899318300996329,0.02877556371263765,0.0001638699528054536,0.00022941793392763503,0.007603565810173046,0.00013109596224436288,0.0003605138961719979,0.0001638699528054536,0.0,0.0
"Control19",0.0005462299628143448,0.017227252673375493,0.025357675581419777,0.048992625895502004,0.0,0.0,0.0,0.0009664068572869178,0.0813252379251665,0.01724826151809912,0.013172545641715163,0.00018907960251265783,0.0014706191306540052,0.0005462299628143448,0.00037815920502531566,0.003949662808042186,0.0008193449442215172,2.1008844723628648e-05,0.00033614151557805836,0.0,0.006932918758797453,0.0067228303115611674,0.002500052522111809,0.03853022122313494,0.24658081052122943,0.0,0.0002731149814071724,0.12017059181915586,0.028046807706044244,0.0043698397025147585,0.015336456648248913,0.05533729700203786,0.02455933948192189,0.0012815395281413474,0.045148007311077966,0.014853253219605454,0.0005672388075379735,0.1333221286161474,0.009727095107040064,0.0032563709321624403,0.002920229416584382,0.005945503056786907,0.0,0.00012605306834177188,0.0,0.00046219458391983027,0.008634635181411374,0.00014706191306540053,0.00201684909346835,0.009033803231160318,0.00016807075778902918,0.0,0.0004832034286434589,0.0,0.0
"Control13",0.0,0.0,0.0,0.04300765363307394,0.0,0.0,0.0,0.0019534377301694047,0.08005892336759855,0.09914497069843405,0.08018701764498672,0.010183495052358537,0.0,0.003682710474909533,0.0,0.0007365420949819066,0.0,0.0,0.004034969737726967,0.0,0.0,0.003650686905562494,0.0,0.0006724949562878278,0.058410990488999906,0.0,0.0,0.33935376437057674,0.005636148205078938,0.0,0.016972491753930893,0.0,0.0,0.0,0.0008966599417171038,0.05126973452461011,0.0,0.15970154033368558,0.009158740833253274,0.005860313190508214,0.0016332020366990104,0.0029141448105805875,0.0,0.0,0.0,0.0007045185256348672,0.004387229000544401,0.00944695295737663,0.005764242482467096,0.0,0.0,0.0005764242482467096,0.0,0.0,0.0
"Control16",0.0014057546210444458,0.0027815995693007117,0.004546270263803314,0.000687922474128133,0.0028414189148770713,0.0003888257462463361,0.004097625171980619,0.0,0.05356822396362984,0.0007776514924926722,0.005264102410719626,0.0006281031285517737,0.005353831429084166,0.0119339594424837,0.0037087994257342825,0.00293114793324161,0.0020039480768080397,2.9909672788179698e-05,0.06376742238439911,0.00493509601004965,0.0032900640066997667,0.003260154333911587,0.004576179936591493,0.012322785188730036,0.058593048992044025,0.002063767422384399,0.008643895435783932,0.03134533708201232,0.016091403960040676,0.002572231859783454,0.006759586050128612,0.03927140037087994,0.03239217562959861,0.0028115092420888917,0.008434527726266674,0.0,0.00020936770951725787,0.43285278459053655,0.05449542382006341,0.031046240354130526,0.043279296524496025,0.01896273254770593,0.0022133157863252974,0.0007477418197044924,0.0008673805108572112,0.0,0.004306992881497876,0.0008673805108572112,0.00044864509182269545,0.0028414189148770713,0.001076748220374469,0.0017048513489262428,0.0,0.0,0.0
"Control6",0.00017304630719180452,0.006264276320343324,0.005606700353014467,0.005399044784384301,0.003945455803973143,0.0016612445490413236,0.009136845019727278,0.0001384370457534436,0.027064442444798227,0.003253270575205925,0.008098567176576452,0.0,0.0020419464248632936,0.008617706098151866,0.0005537481830137744,0.0011421056274659098,0.00024226483006852635,0.0,0.05461341454973351,0.03637433377171731,0.0013151519346577144,0.00266491313075379,0.0,0.012078632241987956,0.059735585242610925,0.0030110057451373986,0.0061604485360282416,0.0496642901640479,0.024572575621236242,0.001107496366027549,0.008721533882466949,0.008167785699453175,0.00038070187582196996,0.00031148335294524815,0.00647193188897349,0.0015574167647262407,0.0001384370457534436,0.4691285387969821,0.008652315359590226,0.013497611960960753,0.11725617775316675,0.001834290856233128,0.004429985464110196,0.0,0.0030456150065757597,0.0005191389215754136,0.01377448605246764,0.0015574167647262407,0.0001384370457534436,0.002595694607877068,0.0015920260261646016,0.0015920260261646016,0.0,0.0,0.0
