"Control22",0.0,0.0,0.0,0.03177323294752219,0.0,0.0,0.0,0.0005899539274075739,0.1468142487919991,0.0,0.0,0.0,0.0,0.0,0.0,0.06652432857624452,0.001460838296437802,0.0,0.009748286324306101,0.0,0.00896168108776267,0.014411731655242161,0.0031183279020114618,0.005674794920777615,0.12897516574896056,0.012473311608045847,0.0,0.18285762445218565,0.010001123721766491,0.0,8.427913248679627e-05,0.009411169794358916,0.006264748848185189,0.001854140914709518,0.07335093830767501,0.08540285425328689,0.0003652095741094505,0.00460725924261153,0.155270255084841,0.0004494887065962468,0.00039330261827171594,0.014580289920215754,0.0,0.010282054163389145,0.0,0.00039330261827171594,0.002725025283739746,0.0,0.0002247443532981234,0.007219912349702214,0.0,0.000927070457354759,0.0028093044162265423,0.0,0.0
"Control11",0.008011243851018974,0.0007730147575544624,0.000140548137737175,0.006957132817990161,0.0,0.0004919184820801124,0.0,0.00028109627547435,0.27512297962052,0.09402670414617006,0.03506676036542516,0.009135628952916374,0.004356992269852425,0.015460295151089248,0.005551651440618412,0.0,0.00028109627547435,0.0,0.0005621925509487,0.0,0.004286718200983837,0.0027406886858749122,0.0,0.014054813773717497,0.09676739283204498,0.0,0.0,0.059522136331693606,0.026774420238931833,0.005762473647224174,0.0007027406886858749,0.004708362614195362,0.008573436401967675,0.009908643710470837,0.0179901616303584,0.01426563598032326,0.00035137034434293746,0.03176387912860155,0.14104005621925508,0.013352073085031623,0.011314125087842587,0.0,0.008573436401967675,0.0,0.0,0.0011946591707659873,0.016163035839775124,0.0008432888264230499,0.002670414617006325,0.027406886858749122,0.0,0.022839072382290933,0.00021082220660576247,0.0,0.0
"Control32",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031791448100460976,0.26931330472103004,0.017723732316006994,0.028135431568907965,0.014147194404705134,0.014783023366714354,0.02082339850580194,0.0,0.0,0.0,0.0,0.012438404069305357,0.0004768717215069146,0.0,0.0005563503417580671,0.0,0.007272293752980448,0.05992687966936894,0.001271657924018439,0.0009140041328882531,0.026943252265140678,0.013272929581942457,0.0007947862025115244,0.0020664441265299633,0.00011921793037672866,0.0,0.0,0.006874900651724686,0.0003973931012557622,0.0,0.134000953743443,0.3171594341122238,0.02269114608170402,0.004252106183436656,0.0,0.01661103163249086,0.0,0.0,0.0,0.000357653791130186,0.00015895724050230488,0.0019074868860276585,0.0,0.0020664441265299633,0.0022254013670322684,0.0,0.0,0.0
"Control10",0.0,0.0,0.0005480865331914756,0.0,0.0013218557565206177,0.004384692265531805,0.0009349711448560467,0.0,0.4022955153625431,0.012573749879098558,0.022278105555018215,0.0021278653641551406,0.0231485959312635,0.018763903665731694,0.0,0.011477576812715608,0.0007092884547183802,0.0,0.0010316922977721894,0.00019344230583228552,0.007898894154818325,0.021858980559048263,0.0,0.0025792307444304735,0.026727278589160783,0.00022568269013766644,0.00025792307444304734,0.2595350936583164,0.012928394106457748,0.0,0.011735499887158655,0.00019344230583228552,0.0,0.0,0.04033272076603153,0.00012896153722152367,0.0007415288390237611,0.006609278782603089,0.00029016345874842826,0.01927974981461779,0.00315955766192733,0.0,0.0238256440016765,0.00025792307444304734,0.0017409807524905697,0.00022568269013766644,0.004868298030112519,0.0008704903762452848,0.010703807589386466,0.03730212464132573,0.0029016345874842827,0.0,0.0010316922977721894,0.0,0.0
"Control17",0.0006755235307363207,0.0,0.013560509394780955,0.0021516675423453174,0.0013260276714453702,0.0004003102404363382,0.01275988891390828,0.0,0.1554955090194901,0.010182891741099351,0.020415822262253247,0.0034276564337361454,0.005078936175536041,0.016888088268408017,0.001676299131827166,0.0,0.0,0.0,0.050113838224624084,0.005904576046435988,0.00012509695013635568,0.0015261827916635393,0.003102404363381621,0.008681728339463084,0.09732542720608471,0.0008006204808726764,0.006279866896845055,0.04120693537491556,0.03255022642547975,0.004428432034826991,0.003127423753408892,0.015587079986989917,0.008031224198754034,0.004303335084690635,0.017713728139307963,0.0,0.0,0.258650454101929,0.0604968850859416,0.0207160549425805,0.09287197578123045,0.0,0.007005429207635918,0.0,0.0024519002226725713,0.0001501163401636268,0.007030448597663189,0.0,0.0,0.005504265805999649,0.00027521329029998247,0.0,0.0,0.0,0.0
"Control20",0.01019102352311594,0.0026059238232625237,0.009516275390306894,0.015519207054608065,0.0002094045929407385,0.0006980153098024616,0.0,0.0003490076549012308,0.06419414132483306,0.007701435584820494,0.012680611461411386,0.0007678168407827078,0.002210381814374462,0.012122199213569418,0.0,0.0039088857348937855,0.008352916540636125,0.0004886107168617232,0.029130505595756067,0.0002094045929407385,0.01640335978035785,0.022685497568580005,0.0005816794248353847,0.05076898019963238,0.23823262523558017,0.004095023150841108,0.020963726471067267,0.13541497010167755,0.01658949719630517,0.002047511575420554,0.01800879499290351,0.0032574047790781546,0.0011866260266641848,0.0027222597082296007,0.019032550780613788,0.00016287023895390773,0.0012796947346378465,0.11626608343609669,0.07794504292794155,0.005933130133320924,0.035761651038879454,0.004746504106656739,0.0005351450708485539,0.0003955420088880616,0.0016287023895390773,0.00011633588496707694,0.007561832522860001,0.00018613741594732312,0.0,0.010237557877102772,0.0006049466018288001,0.0011866260266641848,0.0026059238232625237,0.0,0.0
"Control24",0.00025075225677031093,0.0,0.005892678034102307,0.0006895687061183551,0.00025075225677031093,0.0,0.013227181544633902,0.0,0.09415747241725175,0.008650952858575728,0.007898696088264795,0.013039117352056168,0.007397191574724173,0.03554413239719158,0.0015672016048144434,0.005077733199598797,0.0,6.268806419257773e-05,0.015170511534603812,0.00037612838515546637,0.0014418254764292878,0.002570210631895687,0.0015045135406218655,0.010406218655967903,0.08161985957873621,0.0007522567703109327,0.001880641925777332,0.012851053159478435,0.04689067201604814,0.0012537612838515546,0.0,0.031845536609829486,0.051090772316950854,0.005328485456369107,0.0012537612838515546,0.0,0.0,0.2676780341023069,0.193141925777332,0.03065446339017051,0.016549648946840523,0.00037612838515546637,0.0015672016048144434,0.002382146439317954,0.0,0.0013164493480441325,0.0,0.0,0.00018806419257773319,0.009528585757271816,0.0024448345035105318,0.010155466399197594,0.004074724172517552,0.0,0.0
"Control31",0.014594296014187283,0.0013082536267697764,0.0743088060005233,0.01537924819024915,0.0031398087042474633,0.0005523737535250167,0.008576329331046312,0.0,0.02721167543681135,0.0005814460563421228,0.0027909410704421897,0.00407012239439486,0.0007268075704276536,0.002005988894380324,0.0009012413873302905,0.0002616507253539553,0.00043608454225659216,0.0,0.02072855190859668,0.0008430967816960782,0.0011628921126842456,0.016454923394482075,0.0014826874436724134,0.02881065209175219,0.1414367532052214,0.004796929964822514,0.011483559612756926,0.06759310404977178,0.025351048056516556,0.005145797598627788,0.00790766636625287,0.006366834316946245,0.0,0.0002616507253539553,0.024159083641015204,0.0005233014507079106,0.0,0.18565572579003983,0.1145448730993982,0.016687501817018925,0.13283135157135798,0.0,0.007820449457801552,0.0,0.0023548565281855975,0.0,0.014012849957845162,0.0,0.0,0.004564351542285665,0.00017443381690263686,0.0,0.0,0.0,0.0
"Control1",0.0,0.0019817677368212444,0.006658739595719381,0.00023781212841854935,0.0,0.0004756242568370987,0.010225921521997621,0.0,0.17558462148236226,0.0049147839873166866,0.004597701149425287,0.007609988109393579,0.003012286959968292,0.0030915576694411414,0.000713436385255648,0.0,0.006658739595719381,0.0,0.013713832738803012,0.0,0.02584225128814903,0.01109789932619897,0.0008719778042013476,0.01403091557669441,0.059294490685691634,0.0,0.0035671819262782403,0.05342845818470075,0.016409036860879904,0.008164883075703528,0.0075307173999207295,0.020293301625049543,0.0012683313515655964,0.0027744748315497426,0.008719778042013475,0.0007927070947284979,0.0029330162504954418,0.2690447879508522,0.12318668252080855,0.013238208481965913,0.007847800237812128,0.0004756242568370987,0.027348394768133173,0.0009512485136741974,0.0,0.0,0.006817281014665081,0.0,0.0,0.05160523186682521,0.0007927070947284979,0.0017439556084026951,0.020451843043995242,0.0,0.0
"Control8",0.00023940627244433804,0.00122363205915995,0.04040645864921661,0.008592025111057909,0.0006384167265182347,0.000611816029579975,0.010055063442662198,0.0,0.05019551512249621,0.002580267603011199,0.01228952198547602,0.003990104540738967,0.0003458090601973772,0.008006809778416194,0.00031920836325911736,0.007102386082515362,0.0002926076663208576,2.660069693825978e-05,0.03827840289415583,0.00021280557550607825,0.011677705955896045,0.009070837655946585,0.0036176947836033305,0.017263852312930598,0.1560928896337084,0.0028462745723937966,0.011305296198760407,0.06916181203947544,0.019711116431250498,0.0030856808448381347,0.008033410475354455,0.013672758226265529,0.019099300401670523,0.007767403505971856,0.018780092038411408,0.0013566355438512489,0.0012768334530364695,0.18019312105977175,0.08006809778416195,0.005054132418269359,0.1281089564546591,0.00853882371718139,0.0,0.0,0.0017822466948634054,0.00023940627244433804,0.019232303886361823,0.0,0.0006384167265182347,0.008166413960045754,0.0,0.00848562232330487,0.00026600696938259785,0.0,0.0
"ADHD5",0.0,0.0,0.0,0.0,0.00014335889900365565,0.00043007669701096695,0.0,0.0053042792631352595,0.27058992186940006,0.05246935703533797,0.05232599813633431,0.032470790624328005,0.021503834850548346,0.006236112106659021,0.004802523116622465,0.0002867177980073113,0.0,0.0,0.0082431366927102,0.0,0.0007167944950182783,0.00659450935416816,0.0010751917425274175,0.011755429718299763,0.13117339258834493,0.0005734355960146226,0.0009318328435237618,0.061070890975557304,0.028241703103720164,0.0,0.00164862733854204,0.03447781521037918,0.00014335889900365565,0.0005734355960146226,0.008673213389721168,0.02050032255752276,0.0,0.08278976417461113,0.005232599813633432,0.03985377392301627,0.021002078704035552,0.0,0.023582538886101356,0.0,0.0,0.0,0.0011468711920292452,0.003655651924593219,0.0010035122930255895,0.05677012400544764,0.0,0.002007024586051179,0.0,0.0,0.0
"Control14",0.0,0.0,0.0,0.01380694604951037,0.0,0.0,0.0,0.0,0.31537011130709813,0.008758591326561645,0.024451067453317925,0.02159236056200961,0.021774831214646313,0.01757800620400219,0.00200717717900371,0.00048658840703120245,0.002737059789550514,0.0,0.0014597652210936074,0.0,0.0011556474666991059,0.003162824645702816,0.0015205887719725079,0.0020680007298826105,0.07000790706161426,0.0,0.0,0.027005656590231738,0.012894592786326866,0.0,0.014901769965330576,0.016361535186424185,0.01727388844960769,0.01763882975488109,0.01563165257587738,0.013137886989842466,0.0004257648561523022,0.0973785049571194,0.13411592968797517,0.031080834499118058,0.003162824645702816,0.001581412322851408,0.0,0.006873061249315735,0.0,0.0018855300772459096,0.0010948239158202057,0.00030411775439450153,0.000790706161425704,0.06757496502645824,0.002128824280761511,0.004196825010644121,0.0046225898667964236,0.0,0.0
"Control30",0.0002226923505177597,0.0,0.0,0.0035259622165311954,0.0,0.0005196154845414394,0.0,0.0,0.37902238058122706,0.00018557695876479977,0.042163085031362506,0.0154771183609843,0.00011134617525887985,0.013287310247559664,0.0001484615670118398,0.0009278847938239989,0.0,3.711539175295995e-05,0.00805404001039231,0.0,0.00033403852577663955,0.0001484615670118398,0.0009278847938239989,0.005418847195932153,0.07315443714508407,0.0019300003711539176,0.0004453847010355194,0.05838251122740601,0.009056155587722228,0.00018557695876479977,0.005567308762943993,0.018186541958950378,0.0059755780722265525,0.009056155587722228,0.00783134765987455,0.0013361541031065582,0.0,0.183498496826634,0.1107523289908325,0.010986155958876146,0.020265003897116135,0.002189808113424637,0.0,0.0,0.0,0.0005938462680473592,0.0011505771443417584,0.000816538618565119,0.0002226923505177597,0.0036001930000371155,0.004305385443343354,0.0,0.0,0.0,0.0
"Control12",0.0,0.0,0.007210750573582432,0.001092537965694308,0.0014749262536873156,0.0,0.006391347099311701,0.0,0.34267453294001965,0.0016661203976838196,0.04107942751010597,0.0,0.031738227903419645,0.042499726865508576,0.0,0.00030044794056593467,0.0,2.7313449142357696e-05,0.03580793182563094,0.0,0.0002458210422812193,0.000273134491423577,0.0015841800502567464,0.0051076149896208895,0.0666994428056375,0.00030044794056593467,0.004342838413634874,0.052824210641319785,0.016251502239702828,0.0007101496777013001,0.00043701518627772313,0.014558068392876652,0.006309406751884628,0.003523434939364143,0.0030317928548017044,0.0,0.0,0.09505080301540479,0.14896755162241887,0.00936851305582869,0.012154484868349176,0.0,0.007265377471867148,0.00016388069485414618,0.0,0.00030044794056593467,0.0014749262536873156,0.0,0.0,0.029471211624603956,0.0027586583633781273,0.00016388069485414618,0.0046979132524855235,0.0,0.0
"ADHD21",0.0018373464848660671,0.00012087805821487284,0.0,0.0007494439609322115,0.0001450536698578474,0.00024175611642974568,0.0029252490087999226,0.0002901073397156948,0.23438255487863843,0.016560293975437578,0.02021081133352674,0.007155981046320472,0.008775747026399768,0.09950681752248332,0.005777971182670922,0.0005802146794313896,0.0,0.0,0.013175708345421139,0.010008703220191472,0.0014263610869354995,0.0017164684266511943,0.0008703220191470844,0.011096605744125326,0.09747606614447346,0.0032153563485156174,0.00111207813557683,0.0491490184701673,0.01286142539406247,0.0027076685040131514,0.0016439415917222705,0.015496567063146697,0.0011604293588627793,7.25268349289237e-05,0.024344840924475388,0.0,0.00016922928150082196,0.16277439319214776,0.02277342616768204,0.015303162170002901,0.1204428972052993,0.004037327144376753,0.0,0.0,0.0010153756890049319,0.0006769171260032879,0.00012087805821487284,0.0008219707958611352,0.0002175805047867711,0.015182284111788028,0.002175805047867711,0.0008461464075041099,0.0,0.0030944782903007447,0.0035538149115172616
"ADHD4",0.0040589794565937705,0.0004970178926441351,0.018058316766070247,0.0013253810470510272,0.0019880715705765406,0.0,0.005881378396288933,0.0,0.0064612326043737576,0.0004970178926441351,0.0031477799867461894,0.0018223989396951624,0.0019880715705765406,0.007538104705102717,0.00041418157720344597,0.0009940357852882703,0.0008283631544068919,0.0,0.04266070245195494,0.002982107355864811,0.0021537442014579193,0.013916500994035786,0.0,0.03189198144466534,0.09319085487077534,0.0,0.00207090788601723,0.033631544068919814,0.06602054340622929,0.004555997349237906,0.00828363154406892,0.008697813121272366,0.002567925778661365,0.01242544731610338,0.008697813121272366,0.0005798542080848244,0.0,0.4302518223989397,0.08001988071570576,0.026341948310139165,0.04257786613651425,0.009940357852882704,0.0,0.0,0.005550033134526176,0.0,0.0,0.0,0.0,0.005218687872763419,0.0022365805168986083,0.005632869449966865,0.0,0.0,0.0024022531477799866
"ADHD15",0.01007280603324548,0.0012264815636335168,0.0073588893818011016,0.003940398215077894,0.0016961979071527362,0.003888207510242426,0.02400772422431565,0.0,0.05701834503274967,0.0007045745152788288,0.011142715482372589,0.0022442003079251585,0.003627253986065082,0.012343101693588371,0.0002870488765950784,0.0003131442290128128,0.0010177187442916417,2.6095352417734403e-05,0.010829571253359777,0.0020615328410010176,0.005714882179483834,0.013099866913702669,0.0012786722684689858,0.014613397353931265,0.10495550742412776,0.0029487748232039875,0.005480024007724224,0.04496229221575637,0.01174290858798048,0.0,0.008663657002687822,0.012786722684689857,0.015396257926463297,0.0009394326870384384,0.0007567652201142976,0.004279637796508442,0.0007045745152788288,0.43558362255682265,0.054904621486913184,0.020171707418908693,0.05485243078207771,0.01889303515043971,0.0,0.0,0.001826674669241408,0.0012264815636335168,0.000521907048354688,0.0008872419822029697,0.000260953524177344,0.005140784426293677,0.002713916651444378,0.000260953524177344,0.0,0.0,0.0006262884580256256
"Control2",0.00022411976960487684,0.0,0.0,0.0028014971200609608,0.0,0.0,0.00022411976960487684,0.0026446132813375467,0.14135233868979583,0.0,0.05396804052085435,0.0,0.01131804836504628,0.008202783567538492,0.0,0.0036531522445594927,0.0,8.964790784195073e-05,0.011474932203769694,0.0,0.0019498419955624286,0.0007395952396960936,0.000784419193617069,0.009032026715076536,0.15910262444250206,0.004235863645532172,0.01685380667428674,0.19168963894305116,0.02496694233398328,0.00638741343373899,0.04247069634012416,0.0049306349313072905,0.0014343665254712118,2.2411976960487684e-05,0.02429458302516865,0.023263632084986215,0.00011205988480243842,0.11988166476164863,0.07886774692395616,0.008494139268024833,0.003720388175440956,0.0,0.00900961473811605,0.0,0.0003137676774468276,0.0007620072166565813,0.008001075774894104,0.0020843138573253548,0.005356462493556557,0.013873013738541877,0.001411954548510724,0.0,0.0,0.0,0.0
"Control25",0.0001234110823151919,0.0001234110823151919,0.024929038627668765,0.0,0.0033629519930889794,0.00015426385289398989,0.013883746760459089,0.00018511662347278786,0.05081451314328027,0.003548068616561767,0.01629026286560533,0.008175984203381463,0.008577070220905838,0.057201036653091446,0.0046896211279772925,0.008762186844378626,0.0004319387881031717,6.170554115759595e-05,0.05970011106997408,0.0020671356287794646,0.00033938047636677775,0.004350240651610515,0.0,0.02085647291126743,0.13167962483030976,0.0020671356287794646,0.009687769961742565,0.03449339750709614,0.019714920399851905,0.0016969023818338886,0.0037023324694557573,0.10486856719733433,0.007589781562384302,0.0007404664938911515,0.0002776749352091818,0.0002776749352091818,0.0,0.2014685918795508,0.01585832407750216,0.027921757373812167,0.10190670122176972,0.029402690361594472,0.0,0.0005862026409971616,0.0017894606935702827,0.00046279155868196966,0.004843884980871282,0.0,0.00030852770578797977,0.010027150438109343,0.0,0.0,0.0,0.0,0.0
"ADHD20",0.0009756802659632132,0.0,0.0,0.0006143172044953565,0.0,0.0,0.0,0.0,0.456582228164637,0.12785025114732773,0.05308423372962816,0.0,0.058468543345499224,0.0,0.0,0.009539984822751419,0.0,0.0,0.0,0.0,0.0,0.0014093159397246414,0.0,0.008961803924402847,0.04527879160192245,0.0,0.0,0.038412893434033174,0.003216131247063925,0.0010840891844035702,0.006359989881834279,0.0,0.0,3.613630614678568e-05,0.002565677736421783,0.021067466483576047,0.0,0.001228634408990713,0.0004336356737614281,0.003360676471651068,0.0,0.0,0.030715860224767823,0.0,0.0,0.0,0.0011202254905503558,0.0,0.0,0.010407256170274274,0.0,0.05640877389513244,0.0,0.06081740324504029,0.0
"ADHD23",0.0,0.0,0.0,0.0,0.0,0.0010373892370866653,0.0,0.0010373892370866653,0.04663929111735466,0.021828398530365247,0.007088826453425546,0.006008212664793603,0.0,0.00700237735033499,0.00038902096390749946,0.006526907283336936,0.0,0.0,0.012794467257402204,0.0,0.0,0.0,0.0,0.01685757510265831,0.2108493624378647,0.0051004970823427705,0.0009509401339961098,0.43712988977739353,0.03980981197320078,0.0,0.03522800950940134,0.0,0.00034579641236222173,0.0,0.05078884806570132,0.003674086881348606,0.0,0.040285282040198836,0.006613356386427491,0.007477847417333045,0.013356386427490815,0.0,0.002852820401988329,0.0,0.0008212664793602766,0.0,0.0027231467473524964,0.0,0.0017289820618111088,0.0023773503349902745,0.00038902096390749946,0.004236006051437216,0.0,0.005748865355521936,0.000302571860816944
"ADHD25",0.0019994718376277966,0.0005281623722035688,0.0025276342098313653,0.009356019164748933,0.00022635530237295808,0.001094050628135964,0.004413928396272682,0.00015090353491530538,0.14486739351869318,0.04191345682272607,0.04828913117289772,0.00015090353491530538,0.0015844871166107066,0.02542724563322896,0.0,0.007507450862036443,0.00011317765118647904,3.7725883728826346e-05,0.037046817821707476,0.0006413400233900479,0.0002640811861017844,0.0022258271400007546,0.0118836533745803,0.019127023050514957,0.15505338212547629,0.007771532048138228,0.009356019164748933,0.16799336024446374,0.03783906138001283,0.0028671671633908025,0.010261440374240767,0.005432527256950994,0.0003395329535594371,7.545176745765269e-05,0.011732749839664994,0.0015090353491530538,0.0,0.07756441694646697,0.06779341306070094,0.014184932282038707,0.020183347794922098,0.018900667748142,0.0,0.0,0.00196174595389897,0.00022635530237295808,0.019051571283057307,0.0,0.00022635530237295808,0.006564303768815784,0.0008299694420341796,0.00018862941864413173,0.0,0.0007167917908477006,0.0
